[1] "Userchar,WindowSize,Slice,Model,Repeat,Accuracy_mean,Accuracy_sd,Kappa_mean,Kappa_sd,AccuracyHigh_mean,AccuracyHigh_sd,AccuracyLow_mean,AccuracyLow_sd"
[1] "BarChartLit,1000,4,svmLinear,1,0.603333333333333,0.223579190268208,0.260749054866702,0.431380437524686,0.6,0.322030594359765,0.607142857142857,0.33601528777804"
[1] "BarChartLit,1000,4,MajorityClass,2,0.528301886792453,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,4,rf,2,0.64,0.138599698929002,0.140800865800866,0.315332321614203,0.56,0.284930140885771,0.714285714285714,0.294886263096919"
[1] "BarChartLit,1000,4,regLogistic,2,0.536666666666667,0.285644171291123,0.100424575424575,0.511580437314439,0.44,0.332888592196871,0.642857142857143,0.290144228736999"
[1] "BarChartLit,1000,4,xgbTree,2,0.543333333333333,0.231500739939622,0.0724373665550136,0.392050063050338,0.6,0.272165526975909,0.5,0.273861278752583"
[1] "BarChartLit,1000,4,svmLinear,2,0.7,0.179161283295523,0.266774891774892,0.421288852461495,0.76,0.239752959275754,0.642857142857143,0.281950657863016"
[1] "BarChartLit,1000,4,MajorityClass,3,0.528301886792453,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,4,rf,3,0.616666666666667,0.18542576964754,0.276298701298701,0.308982278554625,0.48,0.333616546352246,0.714285714285714,0.221014290724513"
[1] "BarChartLit,1000,4,regLogistic,3,0.516666666666667,0.281639819014146,0.0373126873126873,0.472025074335404,0.52,0.305450486986025,0.5,0.358199495123707"
[1] "BarChartLit,1000,4,xgbTree,3,0.616666666666667,0.259272486435067,0.187412587412587,0.399531351565859,0.56,0.317726297306345,0.642857142857143,0.29738085706659"
[1] "BarChartLit,1000,4,svmLinear,3,0.586666666666667,0.203791226988629,0.102565571683219,0.26518055149038,0.6,0.351781181986757,0.571428571428571,0.339651014706836"
[1] "BarChartLit,1000,4,MajorityClass,4,0.528301886792453,0,0,0,0,0,0,0"
[1] "BarChartLit,1000,4,rf,4,0.603333333333333,0.194015399668794,0.166625041625042,0.295532478037457,0.52,0.288708124153757,0.678571428571428,0.259002680509218"
[1] "BarChartLit,1000,4,regLogistic,4,0.483333333333333,0.248079039575179,0.00177988677988669,0.403672049863893,0.44,0.326131729155421,0.535714285714286,0.28505214279473"
[1] "BarChartLit,1000,4,xgbTree,4,0.58,0.263499713027229,0.130645824763472,0.486673338655877,0.44,0.295489907973666,0.678571428571428,0.294828184460424"
[1] "BarChartLit,1000,4,svmLinear,4,0.576666666666667,0.270367833575111,0.0421186656480773,0.356998467540796,0.56,0.348711915483254,0.607142857142857,0.302889835512085"
[1] "BarChartLit,1000,4,MajorityClass,5,0.528301886792453,0,0,0,0,0,0,0"
